stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
YzQVKAyD, ,Intuc Nagar, 13.148894759294059, 80.19990137024642, 0,
QkOFoFkV, ,Kottamedu, 13.093646574645955, 80.01306446188448, 0,
rqBqDfoZ, ,Periyamedu, 13.08392761, 80.27043776, 0,
TsaeiIGv, ,Parrys Corner, 13.08959104, 80.29078394, 0,
HezLsNFQ, ,Mugalivakkam, 13.02925019842238, 80.16929956796639, 0,
JcIXcAoG, ,Chendurpuram Main Road, 13.039270011940495, 80.12673139632987, 0,
ydQuGMgP, ,Pudur High School, 13.041988385291988, 80.21601938157835, 0,
JYcdyiOK, ,Chinthamani, 13.08479839, 80.2241888, 0,
mxxFIxNX, ,Water Tank Vinayagapuram, 13.139904816825599, 80.20307902869172, 0,
ZfrzMWnY, ,Vyasarpadi Sathiyamoorthy Nagar, 13.119407413556031, 80.26571515787577, 0,
bZroqIhX, ,CIT Nagar, 13.02925281559845, 80.23073054407075, 0,
dAjqsFfg, ,Wireless Company, 13.131879192276259, 80.16531572264012, 0,
WKiVoaSt, ,Ekkadu CSI Hospital, 13.15967666037619, 79.922218045357, 0,
LhgNVAOU, ,Dunlop, 13.10617659968523, 80.1523700587012, 0,
iTmItNpT, ,Vadaperumbakkam, 13.17534489181586, 80.21580622070815, 0,
mXosqjnx, ,North Chennai Thermal Power Station, 13.247894402924876, 80.31756779431362, 0,
qoKVVYVH, ,Alathur Colony, 12.691245703945386, 80.18038200875208, 0,
ryJVAbFB, ,KCG College, 12.919772388546608, 80.22990280231544, 0,
jcIgNgIp, ,Menambedu, 13.12198764868221, 80.16462643848058, 0,
OSxOVFcp, ,Paranur, 12.738135585580766, 79.98855446581229, 0,
xaFIWdbd, ,Om Chamutiram School, 13.485238429485145, 80.15011461200606, 0,
DCdKJxNH, ,Mangalapuri Or Perambu, 13.10724712679007, 80.24627506391266, 0,
OdbRrJhV, ,Vandalur, 12.893560244254902, 80.08198678025951, 0,
CZhqrbpp, ,Lake Stop, 13.110284735279171, 80.1805201254544, 0,
rvjuJASP, ,Ayyanar Medu, 13.323084277172878, 80.11909071242599, 0,
lodnRGFY, ,Periyar Nagar, 13.269183605395419, 80.03389555692229, 0,
ByhOWHwN, ,Kendriya Vidyalaya Minambakkam, 12.991967264021277, 80.18503666292418, 0,
ISsnXLUH, ,Ayathur Chathiram, 13.137311622628655, 79.99378663257153, 0,
ErjukRDc, ,Meersahibpet Market, 13.053490769866402, 80.26898819295445, 0,
KGIBfEut, ,Sirukalathur Kozhi Pannai, 12.994385831572348, 80.07501556509544, 0,
PodiCKwF, ,Mallian Kuppam, 13.32061758104492, 80.08721764723876, 0,
nJRQzVZQ, ,Janapanchatram Koot Road Junction, 13.262029986300082, 80.15486977608202, 0,
kWtooBDW, ,Adham Market, 13.065755778686713, 80.27371050462853, 0,
CcTUkfkl, ,Abirami Theatre, 13.08566542, 80.24658786, 0,
ZsWByVqb, ,Godsun School, 13.140794441259336, 80.19976489814758, 0,
juEhgeLi, ,Rajamangalam Police Station, 13.122188787063191, 80.20541329387106, 0,
IgyjIxcD, ,V G K Green City, 12.874605951771628, 80.14862911824842, 0,
tIegtsMs, ,Basin Bridge, 13.104418109779505, 80.27136205383496, 0,
KxCQTOnF, ,Santhi Colony, 13.082200182642815, 80.21714598803739, 0,
ZfvMwthQ, ,Venkatesawar Nagar, 13.039840502185191, 80.17448158006812, 0,
qiCIHugK, ,Agaram Mel, 13.039124473599871, 80.07918985016863, 0,
KMpSUJOF, ,Tarapakkam, 12.997100760125956, 80.12335182951716, 0,
KENvRSom, ,Jones, 12.960221836122019, 80.13183085901755, 0,
UMTLMNkc, ,Mannur Village, 13.021370558228963, 79.95532267147087, 0,
OgIWHNQz, ,CV Raman Road, 13.036337882343766, 80.25531062656434, 0,
VWoqleUj, ,Purasaivakkam Tank, 13.0855645551094, 80.2537116836985, 0,
nyKpQWLK, ,Parimalam Theatre, 13.00471564265462, 80.10323741625712, 0,
LNbMEmtu, ,Paraniputhur, 13.020964298819766, 80.12696291124678, 0,
SNVRXPiu, ,Amudam, 13.039776644477342, 80.19331978053049, 0,
Xaxgfhaq, ,SSS Jain Collage, 13.035251545784039, 80.22889445726717, 0,
cWGPtAwF, ,Taar Plant, 12.952607709165045, 80.05084807905189, 0,
FdBCLyPI, ,Jaya Jaya Sankara International School, 13.046508577273626, 80.07426953185461, 0,
xrayEaMR, ,Kannan Nagar, 12.972308432346944, 80.1871879285864, 0,
EzNIKkYA, ,Kamatchi Hospital, 12.948699239198694, 80.20970568267535, 0,
YJlimzmz, ,Paranur Toll Plaza, 12.724178315848205, 79.98177919845342, 0,
LsQRoNsL, ,Saligramam, 13.054228540071927, 80.2040471528693, 0,
